all_pOx,max_pOx,correct,gal_Index,num_cand
[0.21125841 0.51501754 0.11096499 0.04779032 0.05047045 0.03943338],0.5150175389186471,True,582437.0,36
[0.21573055 0.0773428  0.58237886 0.05413688 0.04452458],0.5823788589725869,False,5615747.0,36
[0.01046861 0.12722829 0.34123363 0.28458758 0.21173623 0.02004379],0.3412336296704831,False,5910377.0,36
"[0.11767157 0.04418437 0.33715898 0.01344695 0.23203022 0.06567657
 0.1653438 ]",0.3371589770000197,True,2899114.0,42
"[0.02117182 0.13128091 0.02771954 0.11787302 0.30484946 0.01704054
 0.14024523 0.2275402 ]",0.30484946148537345,True,4175426.0,35
[0.16096888 0.58066806 0.06309756 0.01650526 0.15076451],0.5806680634345092,False,2213751.0,40
"[0.05342744 0.02058085 0.38182598 0.05343195 0.01713893 0.01177721
 0.40373888 0.02328227 0.0180337 ]",0.4037388831484523,False,752940.0,40
[0.01792525 0.02625563 0.71491872 0.15965508 0.04103182 0.0213072 ],0.7149187158740222,True,523784.0,25
"[0.06565192 0.01802366 0.26352178 0.03373937 0.03517266 0.08214257
 0.20483635 0.01308459 0.19244629 0.03672291 0.04019444]",0.2635217759695504,True,2939449.0,33
[0.08400869 0.03030032 0.04873528 0.03876912 0.06012564 0.72920693],0.7292069303980018,False,6234818.0,32
"[0.01324049 0.23256604 0.13231984 0.1217953  0.01434121 0.20199259
 0.26587832]",0.2658783172075199,False,3376602.0,21
"[0.01713562 0.02482215 0.02769889 0.04474332 0.19991141 0.02945281
 0.25027528 0.10790254 0.01159456 0.02118577 0.09389032 0.1291376 ]",0.2502752777700689,False,1859671.0,54
"[0.03656269 0.01178514 0.01199943 0.02456615 0.27655278 0.03443178
 0.06510795 0.30416219 0.03046839 0.16617925 0.03084982]",0.30416219227661356,True,4618180.0,28
[0.01718417 0.32614151 0.54646904 0.03230793 0.05885057],0.5464690352154945,False,2129312.0,38
"[0.05340728 0.07591186 0.25054863 0.11881768 0.36936994 0.02156017
 0.02584313 0.01237952 0.0292904 ]",0.36936994399444656,False,2594708.0,51
"[0.37358124 0.0995571  0.02822043 0.31497603 0.03502165 0.01915738
 0.03200416 0.02298015 0.01968828 0.03277599]",0.3735812420044641,False,2689818.0,45
[0.01020625 0.02288879 0.94925491],0.9492549106014321,False,5969630.0,33
"[0.0275966  0.06162967 0.1304495  0.43351253 0.10119684 0.10173303
 0.01716016 0.04138843 0.0502401 ]",0.4335125263333608,True,2831745.0,45
"[0.06324946 0.06630103 0.03273429 0.09104636 0.16359576 0.08321426
 0.2838764  0.02921998 0.01397184 0.01793103 0.01858914 0.12025204]",0.2838764013603153,False,7700329.0,41
[0.86568263 0.04902096 0.02577812 0.03150848],0.8656826265846818,True,1291794.0,42
[0.0254055  0.01575832 0.94114102],0.9411410153532094,False,4431798.0,24
[0.24829331 0.04759607 0.01022262 0.68782072],0.6878207204110514,False,6361791.0,35
"[0.03123193 0.07821131 0.12184128 0.02612979 0.26265162 0.03080417
 0.1486566  0.02918118 0.24443783]",0.26265162133164194,True,3310357.0,38
[0.01652386 0.41730334 0.10569082 0.03711152 0.29799164 0.12212744],0.4173033363211841,False,5961450.0,26
[0.06921983 0.33558582 0.09006611 0.01667003 0.42461753 0.04327226],0.42461752795870666,True,6587013.0,34
"[0.02850588 0.01099632 0.03960776 0.01127884 0.03229363 0.01930273
 0.74565551 0.08817746 0.01560622]",0.7456555108288452,True,5529278.0,48
"[0.38307268 0.0196988  0.02257397 0.01567748 0.01922698 0.33155871
 0.01216073 0.15521225 0.0226707 ]",0.38307267662555056,True,871912.0,43
"[0.1594975  0.01277382 0.21729916 0.03737277 0.37483691 0.12833825
 0.04827063]",0.3748369069829021,True,3593643.0,43
"[0.02178547 0.01697041 0.02923594 0.024335   0.15602491 0.03307953
 0.1076471  0.57796518 0.01071305]",0.5779651819144882,False,3637672.0,32
"[0.09725407 0.16280874 0.15256352 0.01939357 0.02485016 0.08893943
 0.42732121 0.01290187]",0.42732120835588866,False,2576283.0,31
[0.01592487 0.01427023 0.03421227 0.41296658 0.50124482],0.5012448225298585,False,7579877.0,34
[0.03794287 0.3338754  0.03397729 0.01215864 0.51689443 0.02314523],0.5168944317170793,False,2269349.0,39
[0.03146196 0.17339271 0.03010414 0.10821791 0.27437751 0.36932012],0.369320119771334,False,3257368.0,32
"[0.40557847 0.0511754  0.0107195  0.21839471 0.04385247 0.15950754
 0.03145521 0.07356955]",0.40557847210948184,True,371041.0,46
[0.34042101 0.30850577 0.0225     0.27058583 0.02532145],0.34042101497527405,False,5864272.0,44
"[0.01637143 0.03569445 0.02510857 0.4749831  0.0296485  0.03930847
 0.30262286 0.01953224]",0.4749830978691438,True,1075517.0,36
[0.54245351 0.07957442 0.26672604 0.0249721  0.03713917 0.03036473],0.54245350629798,True,3175869.0,36
[0.04465365 0.35427773 0.13105012 0.01361623 0.35962006 0.075892  ],0.3596200581767467,True,6435933.0,38
"[0.01771956 0.01709062 0.01650552 0.02671672 0.0142638  0.82130623
 0.07293589]",0.8213062264704003,True,4788445.0,34
"[0.02147796 0.18255613 0.03128142 0.32694035 0.30101933 0.01637261
 0.01072321 0.08354929]",0.3269403541404344,False,5477089.0,50
"[0.0213793  0.01328177 0.01182146 0.51944818 0.20555022 0.20605909
 0.01494327]",0.5194481778097929,True,6575868.0,30
"[0.04603821 0.05013013 0.2625122  0.0229148  0.01229256 0.01070817
 0.34353216 0.23224966]",0.34353215819874794,True,7545956.0,41
"[0.05994764 0.01530057 0.58242411 0.11960817 0.04134405 0.04961777
 0.06912252]",0.5824241127240344,False,6230196.0,36
[0.06644907 0.01583783 0.01233117 0.87528661],0.875286608633982,False,1337920.0,44
[0.020057   0.02579443 0.01582631 0.03118269 0.88521375],0.8852137468706006,True,6707122.0,35
[0.64886348 0.19707482 0.09697828 0.01085861 0.02274372],0.6488634790748921,False,1529146.0,38
[0.70212965 0.20019377 0.06608886 0.0181759 ],0.7021296453640471,False,1585543.0,26
[0.02129987 0.62770141 0.12524475 0.22060416],0.627701412302414,True,5611600.0,31
"[0.05723236 0.02982617 0.01044307 0.01063526 0.22714133 0.04148555
 0.01313305 0.01272719 0.21269308 0.0107448  0.18844896 0.06574502
 0.10598661]",0.22714133139714107,False,6553338.0,41
"[0.02052288 0.01172913 0.01172973 0.08237324 0.24195269 0.011378
 0.2337077  0.01822465 0.14511088 0.08887876 0.02061798 0.09933977]",0.2419526906545642,False,4414192.0,44
"[0.01133836 0.06112641 0.01716976 0.15529112 0.12316792 0.05850928
 0.30567117 0.07774472 0.1606488 ]",0.3056711654922576,False,2129915.0,39
"[0.04092658 0.06597211 0.12144371 0.22149052 0.03708771 0.02270529
 0.03770449 0.32537496 0.01935117 0.01048815 0.0758875 ]",0.32537495722444665,False,4714403.0,39
"[0.01143913 0.01893954 0.05056577 0.01515986 0.5053052  0.11345094
 0.2353134  0.01851031 0.01346344]",0.5053052026628434,False,6250445.0,40
[0.01030515 0.97295379],0.9729537912990512,True,7105989.0,36
"[0.02101437 0.24835825 0.02256537 0.37747687 0.01034452 0.01957718
 0.01006609 0.03364654 0.05233701 0.06666547 0.11045991]",0.37747687215623055,False,1295618.0,40
"[0.0157546  0.2226333  0.01456145 0.30100586 0.1154862  0.01126978
 0.02858284 0.07679257 0.02486123 0.18346961]",0.30100586283836206,False,4199754.0,39
"[0.03218032 0.10677561 0.0533531  0.03489503 0.22549453 0.01402372
 0.08770266 0.02310026 0.24901136 0.14132185]",0.24901135537740804,False,5375814.0,36
"[0.3923097  0.07302476 0.01074846 0.01237834 0.02955048 0.3752773
 0.08088199]",0.39230970236725854,True,1973666.0,40
"[0.44097714 0.01058346 0.100757   0.0329857  0.04075581 0.11707219
 0.09705091 0.11776951 0.03377177]",0.440977142651972,True,2252548.0,34
[0.05220463 0.56000003 0.08275151 0.07232885 0.15787792 0.06526069],0.5600000341116268,False,5354389.0,36
[0.13610534 0.01824507 0.17353825 0.46644247 0.194009  ],0.46644247293801167,False,7364038.0,39
"[0.04243115 0.08891852 0.04188656 0.02990227 0.02165574 0.38386819
 0.32004161 0.0272003  0.01329248]",0.38386819274138595,True,4132528.0,43
"[0.2135429  0.13539475 0.10546367 0.27841913 0.06572962 0.03437717
 0.12136343 0.01466764]",0.27841912768899935,True,3463703.0,47
"[0.01108337 0.03325495 0.01120009 0.72184465 0.02334823 0.02979235
 0.04139611 0.01810825 0.07732227]",0.7218446512528305,True,4225568.0,47
"[0.10630641 0.02424437 0.11657902 0.01824298 0.07630326 0.02817655
 0.61381242]",0.6138124199690455,False,2964882.0,49
[0.09950511 0.04498146 0.61393984 0.16153043 0.02699492 0.02350492],0.6139398409644405,False,2729731.0,32
"[0.02448079 0.076866   0.01648923 0.1525735  0.02385115 0.29985369
 0.36675006]",0.366750055906555,False,873299.0,40
"[0.01576611 0.33696306 0.08336434 0.0189133  0.24397432 0.01426692
 0.05350946 0.12798763 0.09064121]",0.3369630625594435,True,2973922.0,38
"[0.02685185 0.02699169 0.02417381 0.07648021 0.37147409 0.03249314
 0.20455497 0.05552547 0.06830646 0.08949033]",0.371474093837616,False,3935665.0,32
"[0.13241554 0.04479635 0.02740904 0.02479322 0.32034189 0.0948346
 0.01083678 0.31300166]",0.32034188795817026,False,7576262.0,48
[0.97769465],0.9776946496703733,False,5637804.0,45
"[0.1189481  0.01095038 0.60498877 0.06689654 0.13276271 0.02488047
 0.02241275]",0.6049887706458323,True,1913697.0,34
[0.59114005 0.09131894 0.11364597 0.1492495  0.01795234],0.5911400506447148,True,1999227.0,39
"[0.01713315 0.02670952 0.01113222 0.01504358 0.22167195 0.66353521
 0.02374235]",0.6635352116023769,False,5480365.0,54
"[0.03446197 0.05612587 0.02428871 0.75209382 0.05873886 0.0347888
 0.02054444]",0.75209382097004,False,1798470.0,33
[0.02795446 0.02076653 0.02198201 0.88155109 0.0342401 ],0.8815510901236303,True,5369767.0,30
"[0.36087213 0.05402959 0.04925479 0.02832042 0.1517246  0.01010557
 0.32402011 0.01621059]",0.360872127657409,False,7527628.0,32
[0.18810016 0.01222359 0.67453631 0.0454037  0.03340713 0.01320052],0.6745363129410581,True,4624003.0,45
"[0.17589433 0.5262885  0.07988657 0.01422674 0.01420708 0.010009
 0.05985859 0.05239334 0.01450069 0.03793775]",0.5262884991775907,True,1629583.0,38
"[0.01605956 0.16507606 0.01312857 0.37962291 0.01156925 0.37891662
 0.03122186]",0.37962290565108314,False,6374694.0,49
"[0.01647242 0.02815489 0.01100834 0.01594131 0.05329894 0.03520549
 0.66636707 0.06423563 0.10316762]",0.6663670664252623,True,1881165.0,30
[0.03893733 0.0555713  0.82421159 0.01058414 0.04126289 0.01180738],0.8242115934663928,False,1496379.0,37
[0.05859405 0.09947951 0.51697682 0.01144198 0.28967608],0.516976816832658,False,5699788.0,37
"[0.0476244  0.04368238 0.01154824 0.02304809 0.01948093 0.10277447
 0.01129773 0.32776544 0.40088393]",0.40088392967204856,True,6360732.0,40
"[0.02254921 0.01786931 0.01726923 0.01541879 0.48215945 0.08489283
 0.20048628 0.12921195]",0.4821594506796414,False,6803316.0,33
"[0.03466419 0.04990159 0.17643607 0.0265672  0.43975249 0.06688735
 0.07443031 0.02736999 0.0192321  0.05549675 0.01650628]",0.4397524913174994,False,2024025.0,44
"[0.04103205 0.01390137 0.53573417 0.03177201 0.14088761 0.07683619
 0.04869815 0.01080002 0.03460781 0.04209837]",0.5357341737544303,False,3836671.0,44
"[0.25625265 0.07820763 0.05736403 0.0102109  0.17103317 0.21873628
 0.01264998 0.02017905 0.04536201 0.11577462]",0.2562526478055826,False,4875587.0,32
"[0.02600076 0.31090885 0.05481954 0.04797557 0.32204793 0.05714074
 0.08690356 0.01232805 0.01916198 0.05013883]",0.32204793040115054,False,1100128.0,29
[0.01097975 0.01803094 0.02448971 0.66095391 0.0171752  0.22727304],0.6609539127471735,False,6084572.0,45
[0.0437807  0.01117831 0.84450256 0.01145112 0.02952652 0.02472751],0.8445025614709651,True,6474552.0,42
"[0.06088457 0.0122759  0.01845626 0.09965394 0.16206068 0.08947103
 0.0293008  0.4594582  0.02726627 0.03034117]",0.4594582036475738,False,3562667.0,41
"[0.0881373  0.01585562 0.01747139 0.04177022 0.26715385 0.22382408
 0.01074446 0.06146947 0.04772238 0.20481505]",0.267153851984253,False,2246896.0,47
[0.02475008 0.42859684 0.03948607 0.21733837 0.27708992],0.4285968438214026,True,1459581.0,35
"[0.05418367 0.01053442 0.04841979 0.03491466 0.08336946 0.01837936
 0.52306301 0.20625187]",0.5230630111069242,False,5129215.0,33
[0.75383494 0.01011093 0.02922831 0.17856502],0.7538349443387129,True,741621.0,30
"[0.31172519 0.05089482 0.01150131 0.28532673 0.01177732 0.2343422
 0.03762551]",0.31172519491461537,False,7625877.0,54
"[0.10264594 0.42448505 0.02004792 0.0136808  0.25818566 0.01417567
 0.02091407 0.02595353 0.03423851 0.07545541]",0.42448505440930745,False,2032093.0,34
[0.02586827 0.53643888 0.28403095 0.12835667],0.5364388836810787,False,1543652.0,50
"[0.07590367 0.02151341 0.36364865 0.01030087 0.0201962  0.05849149
 0.01078131 0.09977466 0.17767918 0.02030631 0.11932235]",0.3636486549468332,True,1563964.0,33
